100
tk0001, scd001, Nguyen Tuan Anh, 0123456700, st001, 90, 1, 50.
tk0002, scd002, Pham Duy Bach, 0123456701, st003, 90, 1, 35.
tk0003, scd003, Tran Quang Bao, 0123456703, st001, 90, 2, 35.
tk0004, scd005, Truong Tan Cuong, 0123456704, st001, 120, 1, 35.
tk0005, scd006, Vo Van Dat, 0123456705, st002, 90, 2, 60.
tk0006, scd004, Le Ngoc Hanh, 0123456706, st001, 90, 3, 40.
tk0007, scd009, Chau Chi Hieu, 0123456707, st003, 90, 1, 40.
tk0008, scd007, Do Nhat Hoang, 0123456708, st002, 120, 2, 50.
tk0009, scd008, Nguyen Le Viet Hoang, 0123456709, st001, 90, 1, 20. 
tk0010, scd011, Tran Le Huy Hoang, 0123456710, st001, 90, 2, 10.
tk0011, scd012, Vu Zuan Hoang, 0123456711, st002, 90, 2, 15.
tk0012, scd011, Vo Minh Huy, 0123456712, st004, 90, 5, 40.
tk0013, scd013, Truong Cao Khai, 0123456713, st001, 120, 2, 30. 
tk0014, scd014, Pham Quang Khoa, 0123456714, st004, 90, 2, 50.
tk0015, scd015, Nguyen Duc Ngoc Lam, 0123456715, st001, 90, 2, 20.
tk0016, scd017, Nguyen Dinh Loc, 0123456716, st002, 120, 3, 30.
tk0017, scd019, Nguyen Tan Loc, 0123456717, st004, 90, 4, 35.
tk0018, scd018, Nguyen Thanh Minh, 0123456718, st003, 90, 2, 45.
tk0019, scd015, Huynh Le Phuoc Nguyen, 0123456719, st001, 90, 2, 48.
tk0020, scd016, Nguyen Anh Nguyen, 0123456720, st003, 120, 4, 18.
tk0021, scd020, Bui Nhan, 0123456721, st001, 90, 1, 38.
tk0022, scd007, Nguyen Minh Nhat, 0123456722, st003, 90, 3, 46.
tk0023, scd021, Tran Minh Nhat, 0123456723, st001, 90, 3, 52.
tk0024, scd018, Le Trung Tan Phat, 0123456724, st001, 120, 5, 32.
tk0025, scd022, Pham Minh Quan, 0123456725, st002, 90, 2, 36.
tk0026, scd021, Vo Anh Quan, 0123456726, st001, 90, 1, 26.
tk0027, scd019, Nguyen Hong Son, 0123456727, st003, 90, 1, 52.
tk0028, scd023, Tran Viet Son, 0123456728, st002, 120, 1, 46.
tk0029, scd024, Pham Minh Tam, 0123456729, st001, 90, 3, 32.
tk0030, scd025, Vu Tien Thanh, 0123456730, st001, 90, 2, 35.
